,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
0,-0.5423,Sun Dec 24 21:43:10 +0000 2017,0.8,0.2,0.0,1,@BBC
1,-0.3182,Sun Dec 24 20:03:04 +0000 2017,0.909,0.091,0.0,2,@BBC
2,0.3182,Sun Dec 24 19:33:04 +0000 2017,0.881,0.0,0.119,3,@BBC
3,0.7845,Sun Dec 24 19:03:04 +0000 2017,0.622,0.0,0.378,4,@BBC
4,0.8655,Sun Dec 24 18:57:04 +0000 2017,0.508,0.0,0.492,5,@BBC
5,0.6369,Sun Dec 24 18:33:04 +0000 2017,0.811,0.0,0.189,6,@BBC
6,0.5859,Sun Dec 24 18:21:06 +0000 2017,0.858,0.0,0.142,7,@BBC
7,-0.6486,Sun Dec 24 18:18:37 +0000 2017,0.762,0.238,0.0,8,@BBC
8,0.7096,Sun Dec 24 17:32:03 +0000 2017,0.699,0.0,0.301,9,@BBC
9,0.8357,Sun Dec 24 16:48:03 +0000 2017,0.619,0.055,0.326,10,@BBC
10,-0.25,Sun Dec 24 16:29:50 +0000 2017,0.8,0.2,0.0,11,@BBC
11,0.0,Sun Dec 24 16:26:49 +0000 2017,1.0,0.0,0.0,12,@BBC
12,-0.3182,Sun Dec 24 16:00:01 +0000 2017,0.753,0.247,0.0,13,@BBC
13,-0.0516,Sun Dec 24 15:00:08 +0000 2017,0.625,0.194,0.181,14,@BBC
14,0.3182,Sun Dec 24 14:30:09 +0000 2017,0.859,0.0,0.141,15,@BBC
15,0.5423,Sun Dec 24 14:00:05 +0000 2017,0.622,0.105,0.273,16,@BBC
16,0.4404,Sun Dec 24 13:30:02 +0000 2017,0.847,0.0,0.153,17,@BBC
17,0.0,Sun Dec 24 12:35:04 +0000 2017,1.0,0.0,0.0,18,@BBC
18,-0.6588,Sun Dec 24 12:02:43 +0000 2017,0.827,0.173,0.0,19,@BBC
19,0.3818,Sun Dec 24 12:02:29 +0000 2017,0.843,0.0,0.157,20,@BBC
20,-0.5423,Sun Dec 24 21:43:10 +0000 2017,0.8,0.2,0.0,21,@BBC
21,-0.3182,Sun Dec 24 20:03:04 +0000 2017,0.909,0.091,0.0,22,@BBC
22,0.3182,Sun Dec 24 19:33:04 +0000 2017,0.881,0.0,0.119,23,@BBC
23,0.7845,Sun Dec 24 19:03:04 +0000 2017,0.622,0.0,0.378,24,@BBC
24,0.8655,Sun Dec 24 18:57:04 +0000 2017,0.508,0.0,0.492,25,@BBC
25,0.6369,Sun Dec 24 18:33:04 +0000 2017,0.811,0.0,0.189,26,@BBC
26,0.5859,Sun Dec 24 18:21:06 +0000 2017,0.858,0.0,0.142,27,@BBC
27,-0.6486,Sun Dec 24 18:18:37 +0000 2017,0.762,0.238,0.0,28,@BBC
28,0.7096,Sun Dec 24 17:32:03 +0000 2017,0.699,0.0,0.301,29,@BBC
29,0.8357,Sun Dec 24 16:48:03 +0000 2017,0.619,0.055,0.326,30,@BBC
30,-0.25,Sun Dec 24 16:29:50 +0000 2017,0.8,0.2,0.0,31,@BBC
31,0.0,Sun Dec 24 16:26:49 +0000 2017,1.0,0.0,0.0,32,@BBC
32,-0.3182,Sun Dec 24 16:00:01 +0000 2017,0.753,0.247,0.0,33,@BBC
33,-0.0516,Sun Dec 24 15:00:08 +0000 2017,0.625,0.194,0.181,34,@BBC
34,0.3182,Sun Dec 24 14:30:09 +0000 2017,0.859,0.0,0.141,35,@BBC
35,0.5423,Sun Dec 24 14:00:05 +0000 2017,0.622,0.105,0.273,36,@BBC
36,0.4404,Sun Dec 24 13:30:02 +0000 2017,0.847,0.0,0.153,37,@BBC
37,0.0,Sun Dec 24 12:35:04 +0000 2017,1.0,0.0,0.0,38,@BBC
38,-0.6588,Sun Dec 24 12:02:43 +0000 2017,0.827,0.173,0.0,39,@BBC
39,0.3818,Sun Dec 24 12:02:29 +0000 2017,0.843,0.0,0.157,40,@BBC
40,-0.5423,Sun Dec 24 21:43:10 +0000 2017,0.8,0.2,0.0,41,@BBC
41,-0.3182,Sun Dec 24 20:03:04 +0000 2017,0.909,0.091,0.0,42,@BBC
42,0.3182,Sun Dec 24 19:33:04 +0000 2017,0.881,0.0,0.119,43,@BBC
43,0.7845,Sun Dec 24 19:03:04 +0000 2017,0.622,0.0,0.378,44,@BBC
44,0.8655,Sun Dec 24 18:57:04 +0000 2017,0.508,0.0,0.492,45,@BBC
45,0.6369,Sun Dec 24 18:33:04 +0000 2017,0.811,0.0,0.189,46,@BBC
46,0.5859,Sun Dec 24 18:21:06 +0000 2017,0.858,0.0,0.142,47,@BBC
47,-0.6486,Sun Dec 24 18:18:37 +0000 2017,0.762,0.238,0.0,48,@BBC
48,0.7096,Sun Dec 24 17:32:03 +0000 2017,0.699,0.0,0.301,49,@BBC
49,0.8357,Sun Dec 24 16:48:03 +0000 2017,0.619,0.055,0.326,50,@BBC
50,-0.25,Sun Dec 24 16:29:50 +0000 2017,0.8,0.2,0.0,51,@BBC
51,0.0,Sun Dec 24 16:26:49 +0000 2017,1.0,0.0,0.0,52,@BBC
52,-0.3182,Sun Dec 24 16:00:01 +0000 2017,0.753,0.247,0.0,53,@BBC
53,-0.0516,Sun Dec 24 15:00:08 +0000 2017,0.625,0.194,0.181,54,@BBC
54,0.3182,Sun Dec 24 14:30:09 +0000 2017,0.859,0.0,0.141,55,@BBC
55,0.5423,Sun Dec 24 14:00:05 +0000 2017,0.622,0.105,0.273,56,@BBC
56,0.4404,Sun Dec 24 13:30:02 +0000 2017,0.847,0.0,0.153,57,@BBC
57,0.0,Sun Dec 24 12:35:04 +0000 2017,1.0,0.0,0.0,58,@BBC
58,-0.6588,Sun Dec 24 12:02:43 +0000 2017,0.827,0.173,0.0,59,@BBC
59,0.3818,Sun Dec 24 12:02:29 +0000 2017,0.843,0.0,0.157,60,@BBC
60,-0.5423,Sun Dec 24 21:43:10 +0000 2017,0.8,0.2,0.0,61,@BBC
61,-0.3182,Sun Dec 24 20:03:04 +0000 2017,0.909,0.091,0.0,62,@BBC
62,0.3182,Sun Dec 24 19:33:04 +0000 2017,0.881,0.0,0.119,63,@BBC
63,0.7845,Sun Dec 24 19:03:04 +0000 2017,0.622,0.0,0.378,64,@BBC
64,0.8655,Sun Dec 24 18:57:04 +0000 2017,0.508,0.0,0.492,65,@BBC
65,0.6369,Sun Dec 24 18:33:04 +0000 2017,0.811,0.0,0.189,66,@BBC
66,0.5859,Sun Dec 24 18:21:06 +0000 2017,0.858,0.0,0.142,67,@BBC
67,-0.6486,Sun Dec 24 18:18:37 +0000 2017,0.762,0.238,0.0,68,@BBC
68,0.7096,Sun Dec 24 17:32:03 +0000 2017,0.699,0.0,0.301,69,@BBC
69,0.8357,Sun Dec 24 16:48:03 +0000 2017,0.619,0.055,0.326,70,@BBC
70,-0.25,Sun Dec 24 16:29:50 +0000 2017,0.8,0.2,0.0,71,@BBC
71,0.0,Sun Dec 24 16:26:49 +0000 2017,1.0,0.0,0.0,72,@BBC
72,-0.3182,Sun Dec 24 16:00:01 +0000 2017,0.753,0.247,0.0,73,@BBC
73,-0.0516,Sun Dec 24 15:00:08 +0000 2017,0.625,0.194,0.181,74,@BBC
74,0.3182,Sun Dec 24 14:30:09 +0000 2017,0.859,0.0,0.141,75,@BBC
75,0.5423,Sun Dec 24 14:00:05 +0000 2017,0.622,0.105,0.273,76,@BBC
76,0.4404,Sun Dec 24 13:30:02 +0000 2017,0.847,0.0,0.153,77,@BBC
77,0.0,Sun Dec 24 12:35:04 +0000 2017,1.0,0.0,0.0,78,@BBC
78,-0.6588,Sun Dec 24 12:02:43 +0000 2017,0.827,0.173,0.0,79,@BBC
